source_name,source_job_id,job_fingerprint,title,company_name,location_city,location_country,posting_date,source_url
jooble,-6911443733229166532,,Staff Nurse,ABBA Personnel Services Inc.,Saudi Arabia,,2026-07-21,https://sa.jooble.org/jdp/-6911443733229166532
jooble,-2184599657763964450,,Male Nurse - Industrial,RK Travel Services,Saudi Arabia,,2026-09-08,https://sa.jooble.org/jdp/-2184599657763964450
jooble,1162359862849732886,,EMERGENCY NURSE 3.(Al-Hassa),Johns Hopkins Aramco Healthcare,Saudi Arabia,,2026-09-07,https://sa.jooble.org/jdp/1162359862849732886
jooble,8102808449680082420,,Emergency Nurse: Lead Clinician & Mentor in Critical Care,Johns Hopkins Aramco Healthcare,Saudi Arabia,,2026-09-07,https://sa.jooble.org/jdp/8102808449680082420
jooble,3019074052637151980,,Industrial Site Nurse - ER/ACLS ITLS Expert (5+ yrs),RK Travel Services,Saudi Arabia,,2026-09-08,https://sa.jooble.org/jdp/3019074052637151980
jooble,8063389525203771551,,Adult Psychiatrist - AlAhsa,Johns Hopkins Aramco Healthcare,Saudi Arabia,,2026-09-09,https://sa.jooble.org/jdp/8063389525203771551
tanqeeb,21222470,,Finance Director,Red Sea Global,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222470.html
tanqeeb,21223392,,Stewarding Shift Leader,Centro Olaya,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223392.html
tanqeeb,21223130,,Security Supervisor,Panda,,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223130.html
tanqeeb,21222485,,إعلان البرنامج الوطني للتنمية المجتمعية في المناطق عن وظائف في عدة مجالات,البرنامج الوطني للتنمية المجتمعية في المناطق,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222485.html
tanqeeb,21223460,,Senior Project Manager,Elm,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223460.html
tanqeeb,21223456,,Computer Programmer,خبرة لتحصيل الديون,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021223456.html
tanqeeb,21222789,,EPMS Engineer,Air Products,Tabuk,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222789.html
tanqeeb,21222480,,"Director, Governance, Risk and Compliance",Safe security,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222480.html
tanqeeb,21222484,,إعلان هيئة الزكاة والضريبة والجمارك عن وظائف في التخصصات الإدارية والمالية والتقنية,هيئة الزكاة والضريبة والجمارك,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222484.html
tanqeeb,21222483,,إعلان منصة سلة عن وظائف في مختلف التخصصات,منصة سلة,Jeddah,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222483.html
tanqeeb,21222090,,Accountant,شركة وسط المنتزه للتجارة,Riyadh,Saudi Arabia,2026-09-09,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021222090.html
tanqeeb,21221855,,Job Opportunity | Pilates Instructor,PRIMY IN,Taif,Saudi Arabia,2026-09-08,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021221855.html
tanqeeb,21221843,,Restaurant Hostess,Ebhar,Riyadh,Saudi Arabia,2026-09-08,https://saudi.tanqeeb.com/jobs-in-saudi/all/jobs/021221843.html
